rmse_scaled,rmse_psia,r2,epochs,iters,n_test,F,W,hidden,feature_set,elapsed_sec
0.06342750787734985,0.10655821323394774,0.8489829634879938,40,5120,4064,17,15,64,all-with-settings,18.906435012817383
0.06342940777540207,0.10656140506267546,0.8489739432710097,40,5120,4064,14,30,16,all-13,19.706271171569824
0.06343205273151398,0.10656584858894347,0.8489613290613209,40,5120,4064,14,20,16,all-13,20.045644521713257
0.06343347579240799,0.1065682393312454,0.8489545462809716,40,5120,4064,17,10,64,all-with-settings,19.696866273880005
0.06343550980091095,0.10657165646553038,0.8489448565947582,40,5120,4064,14,15,16,all-13,19.916160583496094
0.06345096230506897,0.10659761667251585,0.8488712325971474,40,5120,4064,17,20,64,all-with-settings,18.912687301635742
0.06345374882221222,0.10660229802131652,0.8488579841534519,40,5120,4064,17,30,64,all-with-settings,19.995816469192505
0.06346551328897476,0.10662206232547758,0.8488019249143044,40,5120,4064,17,30,32,all-with-settings,20.483599424362183
0.063470259308815,0.10663003563880918,0.8487793391366215,40,5120,4064,17,20,32,all-with-settings,19.580636739730835
0.06347434967756271,0.10663690745830534,0.8487598188233042,40,5120,4064,14,10,16,all-13,19.603188514709473
0.06349826604127884,0.10667708694934844,0.8486458152606005,40,5120,4064,17,15,32,all-with-settings,18.896554231643677
0.06354563683271408,0.10675666987895964,0.8484199222485485,40,5120,4064,14,20,64,all-13,20.236437559127808
0.06354633718729019,0.1067578464746475,0.848416574902402,40,5120,4064,14,15,64,all-13,22.09681272506714
0.06354760378599167,0.10675997436046598,0.848410532061727,40,5120,4064,14,10,64,all-13,21.643779039382935
0.06356418132781982,0.10678782463073729,0.8483314642222255,40,5120,4064,17,15,16,all-with-settings,22.532651662826538
0.06356420367956161,0.1067878621816635,0.8483313408989464,40,5120,4064,17,10,32,all-with-settings,19.432932138442993
0.06356623023748398,0.10679126679897306,0.848321651212733,40,5120,4064,17,30,16,all-with-settings,19.374247312545776
0.06356640160083771,0.10679155468940733,0.8483208231850019,40,5120,4064,17,20,16,all-with-settings,19.181227207183838
0.06356791406869888,0.1067940956354141,0.8483136351995928,40,5120,4064,14,30,64,all-13,21.88926076889038
0.06357438117265701,0.10680496037006376,0.8482827691446001,40,5120,4064,17,10,16,all-with-settings,19.770130157470703
0.06357763707637787,0.1068104302883148,0.848267230411436,40,5120,4064,14,30,32,all-13,21.811787605285645
0.06358014792203903,0.10681464850902556,0.848255250435754,40,5120,4064,14,20,32,all-13,22.91078495979309
0.0635828748345375,0.106819229722023,0.8482422134033941,40,5120,4064,9,30,32,top-8,20.201388835906982
0.06358508765697479,0.10682294726371763,0.8482316604542272,40,5120,4064,14,15,32,all-13,23.480628728866577
0.06359511613845825,0.10683979511260984,0.8481837934043328,40,5120,4064,14,10,32,all-13,20.994415760040283
0.0636003315448761,0.10684855699539182,0.8481588821019586,40,5120,4064,17,5,64,all-with-settings,18.57222080230713
0.06360172480344772,0.10685089766979215,0.8481522226448883,40,5120,4064,17,5,16,all-with-settings,18.70980477333069
0.06360583007335663,0.10685779452323911,0.8481326318611259,40,5120,4064,14,5,32,all-13,17.93134355545044
0.06362883001565933,0.10689643442630765,0.8480227684370769,40,5120,4064,9,30,16,top-8,20.330018281936646
0.06364136189222336,0.10691748797893523,0.8479629037938892,40,5120,4064,14,5,64,all-13,20.828814029693604
0.06364582479000092,0.10692498564720151,0.8479415688666083,40,5120,4064,17,5,32,all-with-settings,18.019960403442383
0.06364632397890091,0.10692582428455351,0.8479391904890832,40,5120,4064,14,5,16,all-13,19.36691689491272
0.0636475533246994,0.10692788958549497,0.8479333414421326,40,5120,4064,9,20,32,top-8,19.093191385269165
0.06367339193820953,0.106971298456192,0.8478098243693283,40,5120,4064,9,20,16,top-8,19.785529851913452
0.0636879950761795,0.10699583172798155,0.8477400057757577,40,5120,4064,9,15,16,top-8,19.616687536239624
0.06371045112609863,0.10703355789184568,0.8476326264349016,40,5120,4064,9,10,16,top-8,19.539679765701294
0.06371882557868958,0.10704762697219847,0.8475925463692006,40,5120,4064,9,15,32,top-8,18.32485866546631
0.06372611224651337,0.10705986857414244,0.8475576987340548,40,5120,4064,9,30,64,top-8,20.39871335029602
0.0637720376253128,0.1071370232105255,0.8473379014155117,40,5120,4064,9,20,64,top-8,19.807750701904297
0.06381271779537201,0.10720536589622495,0.8471430858697878,40,5120,4064,9,15,64,top-8,18.763102054595947
0.0638500228524208,0.10726803839206693,0.8469643199679557,40,5120,4064,9,10,32,top-8,22.08915400505066
0.0638507530093193,0.10726926505565641,0.846960778828085,40,5120,4064,9,10,64,top-8,18.124741315841675
0.06399437040090561,0.1075105422735214,0.8462715778741406,40,5120,4064,9,5,16,top-8,22.129457712173462
0.06404495984315872,0.10759553253650664,0.8460284196030174,40,5120,4064,9,5,64,top-8,18.400702238082886
0.0640629380941391,0.10762573599815367,0.8459419876019936,40,5120,4064,9,5,32,top-8,20.170049905776978
