agg,diff,smooth,rmse_scaled,rmse_psia,r2,n_test,elapsed_sec,epochs,iters
5,0,None,0.21117043495178223,0.05627971237017187,0.9418843479589446,770,78.11666131019592,2000,50000
5,0,3,0.2384617179632187,0.06355320005535522,0.9258921546771612,770,71.38611221313477,2000,50000
3,0,None,0.24931737780570984,0.0664463769040146,0.925791675335962,1314,77.62480211257935,1191,50022
5,0,5,0.25534456968307495,0.06805270321259752,0.9150271732842379,770,71.83971428871155,2000,50000
3,0,3,0.2703686058521271,0.07205680745392458,0.912730996054343,1314,82.82422947883606,1191,50022
3,0,5,0.28458473086357117,0.07584559269199623,0.9033124120500913,1314,84.81925892829895,1191,50022
5,0,7,0.2876843214035034,0.07667167454428073,0.892140279197057,770,77.92633271217346,2000,50000
3,0,7,0.301595538854599,0.08037919788695577,0.891408120183273,1314,87.11901211738586,1191,50022
1,0,None,0.4103333652019501,0.10935926601052605,0.8313653049425679,4045,106.77975130081177,391,50048
1,0,3,0.41758641600608826,0.11129229992768565,0.825351050036947,4045,76.48636388778687,391,50048
1,0,5,0.4241692125797272,0.11304670223234703,0.8198013668421806,4045,75.854323387146,391,50048
1,0,7,0.4274786114692688,0.11392870078325258,0.8169785432278831,4045,91.99307203292847,391,50048
5,1,None,0.6664732098579407,0.17762392051612114,0.4211150134687467,770,73.27678275108337,2000,50000
3,1,None,0.6960752010345459,0.18551324247250253,0.42155799769666624,1314,85.4831051826477,1191,50022
5,1,3,0.7147476673126221,0.19048970156637055,0.3342174759415829,770,68.21868634223938,2000,50000
5,1,5,0.7269981503486633,0.19375461723423618,0.31119943125071536,770,77.93350911140442,2000,50000
5,1,7,0.7319409847259521,0.19507194793496013,0.30180136997339313,770,74.37168073654175,2000,50000
3,1,3,0.7923789024353027,0.21117945193148802,0.2504279933135888,1314,75.1019344329834,1191,50022
3,1,5,0.7974545955657959,0.21253219124619674,0.2407943174377275,1314,67.72751355171204,1191,50022
3,1,7,0.811436116695404,0.21625845144853756,0.21393909563094138,1314,64.92091107368469,1191,50022
5,2,None,0.8130536079406738,0.21668953424696927,0.1384802650527035,770,68.16577124595642,2000,50000
5,2,3,0.8328819870948792,0.22197405940230264,0.09594720681044622,770,73.48664426803589,2000,50000
5,2,5,0.8380166888237,0.22334252528849852,0.08476591570329006,770,75.47936224937439,2000,50000
5,2,7,0.8414963483810425,0.22426990055804358,0.07714953469911945,770,66.249755859375,2000,50000
3,2,None,0.8795761466026306,0.23441867015978501,0.07637767487502911,1314,76.4282009601593,1191,50022
3,2,5,0.8890458345413208,0.23694246717496123,0.05638287867038372,1314,62.49790906906128,1191,50022
3,2,7,0.891042172908783,0.2374745177394257,0.052140321472997964,1314,74.17029142379761,1191,50022
3,2,3,0.8914515972137451,0.23758363472886548,0.05126914047319486,1314,71.50516319274902,1191,50022
1,1,None,0.9625579118728638,0.2565344075377196,0.07204490016597098,4045,101.65603876113892,391,50048
1,1,3,0.9845078587532043,0.2623843585370069,0.029240649143644215,4045,74.75310969352722,391,50048
1,2,None,0.9919183254241943,0.2643593458635581,0.014571662494825444,4045,77.17035984992981,391,50048
1,1,5,0.9927048087120056,0.2645689540562583,0.013008370602640817,4045,64.89714574813843,391,50048
1,1,7,0.9940274357795715,0.2649214516535314,0.010376568309224399,4045,70.20645332336426,391,50048
1,2,5,0.9952138066291809,0.2652376351675523,0.008012921262462336,4045,69.41397833824158,391,50048
1,2,3,0.995384156703949,0.26528303571433043,0.007673253920047696,4045,68.66444063186646,391,50048
1,2,7,1.0011264085769653,0.26681342174514117,-0.0038089409584531886,4045,76.88822674751282,391,50048
